question,reference,source,base_pred,ft_pred,base_rouge_l,ft_rouge_l,base_bleu,ft_bleu,base_semantic_sim,ft_semantic_sim,base_judge_score,ft_judge_score
What is the punishment for a person who fails to assist in carrying out the acts required to identify a person or property liable to forfeiture?,"According to the passage, such a person shall be liable to a fine not exceeding One Hundred Rupees.",Muluki-Ain-General-Code-en.pdf,I am unable to verify the punishment for a person who fails to assist in carrying out the acts required to identify a person or property liable to forfeiture in Nepal.,A person who fails to assist in carrying out the acts required to identify a person or property liable to forfeiture shall be liable to a fine of up to Five Hundred Rupees. [Source: Muluki-Ain-General-Code-en.pdf],0.24489795918367346,0.41379310344827586,0.39612508818764214,0.37969314995293224,0.51298475,0.7181561,2.0,3.0
कानूनी सूक्ति संकलन र सम्पादन गरेर पुस्तक तयार गर्ने कायामा कति व्यक्ति भएका थिए ?,"आयोगमा मानव स्रोतको अभावका वावजुद, पुस्तक तयार गर्ने कायामा संलग्न केही कमािारीहरू कार्य गरेका थिए ।",Legal-Maxims-कानूनी-सूक्तिहरू.pdf,"नेपालका कानूनी सूक्ति संकलन र सम्पादन गरेर पुस्तक तयार गर्ने काममा कानूनी विशेषज्ञ, संविधान विशेषज्ञ, र कानूनी सेवकु, राज्य प्राधिकरण, र कानूनी संकलन समिति सहित विभिन्न व्यक्ति भाग लेने आउँदा थिए।",दफा १० को उपदफा (१) बमोजिम कानूनी सूक्ति संकलन र सम्पादन गरेर पुस्तक तयार गर्ने कायामा १० व्यक्ति भएका थिए । [Source: combined-final-Annula-report-79-80.pdf],0.0,0.0,0.35227451119856573,0.40159326653096616,0.13067055,0.15106905,1.0,1.0
What was the total export value of chemicals from Nepal for the year 2015/16?,The total export value of chemicals from Nepal for the year 2015/16 was 1.0.,Economic-Survey-21-22.pdf,I am unable to verify the total export value of chemicals from Nepal for the year 2015/16.,The total export value of chemicals from Nepal for the year 2015/16 was 1.0. [Source: Economic-Survey-20-21.pdf],0.7647058823529411,0.8421052631578948,0.7536842509051267,0.6771220041426866,0.76862264,0.93997407,1.0,2.0
What are the two major priority areas in which returnee migrants want to continue working in Nepal?,"The two major priority areas in which returnee migrants want to continue working in Nepal are hospitality and services. These areas were also the primary sectors in which most returnee migrants were engaged in their destination countries, where they acquired necessary skills, experience, and familiarity.",THE-EFFECTS-OF-COVID-19-PANDEMIC-ON-FORE-1684556068_18.pdf,I am unable to verify the two major priority areas in which returnee migrants want to continue working in Nepal.,"The two major priority areas in which returnee migrants want to continue working in Nepal are in the construction sector and in the service sector, including the tourism and hospitality sector. [Source: THE-EFFECTS-OF-COVID-19-PANDEMIC-ON-FORE-1684556068_18.pdf]",0.46153846153846156,0.4318181818181818,0.1678971740604155,0.594576891741962,0.77356297,0.91264653,2.0,1.0
"What are the criteria for evaluating the work performance of a civil employee, and what are the corresponding grade marks that can be assigned?","The work performance of a civil employee can be evaluated on the basis of the following criteria: (a) attendance, where a maximum of excellent grade marks is given without most excellent grade marks for one appropriate segment out of four (cost, time, quantity, and quality) for an employee who is absent for more than thirty consecutive days without approved leave or application; (b) overall quality of work, where a maximum of excellent grade marks is given without most excellent grade marks for a civil employee who has been awarded a punishment of censure or withholding of grade or promotion in the same year; (c) settlement of advances, where a maximum of excellent grade marks is given without most excellent grade marks on the ground of overall quality of work for an employee who has not settled an advance within six months, subject to relevant laws; and (d) in the case of a Chief of Office or Head of Department, the evaluation criteria and grade marks are not explicitly stated in this passage.",Good-Governance-Act-2050-en.pdf,"According to the Government of Nepal's Public Service Commission (PSC) and the Ministry of Finance, the criteria for evaluating the work performance of a civil employee in Nepal are as follows:

The performance of a civil employee is evaluated based on the following criteria:

1. **Work Performance**: The employee's performance in carrying out their assigned duties and responsibilities (Source: Public Service Commission, Nepal, 2018).
2. **Contribution to the Organization**: The employee's contribution to the organization, including their role in achieving the organization's goals and objectives (Source: Ministry of Finance, Government of Nepal, 2020).
3. **","The work performance of a civil employee is evaluated based on the following criteria: (a) Quality of work, (b) Quantity of work, (c) Timeliness, (d) Teamwork, (e) Leadership, (f) Innovation, (g) Risk management, (h) Compliance with rules, (i) Attitude, (j) Communication, (k) Teamwork, (l) Leadership, (m) Innovation, (n) Risk management, (o) Compliance with rules, (p) Attitude, (q) Communication, (r) Teamwork, (s) Leadership, (t",0.1925925925925926,0.16170212765957445,0.4459209695492389,0.19078372225537976,0.76012933,0.8800109,1.0,4.0
What does the passage suggest is the relevance of emotional intelligence in public management and governance?,"The passage suggests that emotional intelligence has relevance in public management and governance, as it is listed as one of the topics to be discussed under chapter 3.8, indicating its importance in the context of public service management.",psc_joint_sec_foreign_p2.pdf,"I couldn't find any specific passage provided. However, I can provide general information on the relevance of emotional intelligence in public management and governance based on available sources.

Emotional intelligence (EI) is increasingly recognized as a crucial aspect of effective public management and governance. According to the World Economic Forum, emotional intelligence is essential for leaders to make informed decisions, build trust, and foster a positive work environment (WEF, 2020).

In Nepal, the Constitution of Nepal (2017) emphasizes the importance of a fair, just, and equitable society, which can be achieved through effective governance (Government of Nepal, 2017). Emotional","The passage suggests that emotional intelligence is highly relevant in public management and governance, as it enables public managers to understand and manage their emotions, empathize with others, and make informed decisions that consider the emotional and social aspects of a situation. [Source: psc_section_officer_p1.pdf]",0.23021582733812948,0.36781609195402293,0.32082145712576043,0.6411557520935623,0.6778282,0.8451196,1.0,2.0
"What documents must the applicant attach with the application to substantiate their claim, if the document is of such nature that it cannot be in their possession?","The applicant must request the review committee to cause the concerned public entity to produce such document, as mentioned in sub-rule (2).",Public-Procurement-Regulation-2064-en.pdf,"According to the Constitution of Nepal (2017) and the relevant laws, when an applicant submits an application for a claim that cannot be in their possession, they are required to attach supporting documents or evidence to substantiate their claim.

In such cases, the applicant may need to attach:

1. Affidavits from third parties: The applicant may need to obtain affidavits from third parties who have knowledge of the facts and circumstances related to the claim. (Source: Section 34 of the Civil Procedure Code, 2074 BS)
2. Documents from public records: The applicant may need to attach documents from public records, such","The applicant must attach a copy of the document with the application, and if the document is of such nature that it cannot be in their possession, they must also attach a statement of the document, along with a copy of the document, to the application. [Source: Muluki-Ain-General-Code-en.pdf]",0.12903225806451613,0.1842105263157895,0.20581851048193356,0.3789307237713049,0.46187323,0.46434104,1.0,4.0
"If a person inherits only immovable property from someone who has debt, is the inheritor bound to repay the debt to the creditor?","No, the inheritor shall not be bound to repay the debt to the creditor in such a case, as per the specified condition in the Chapter on Women's Partition Property, Number 3.",Muluki-Ain-General-Code-en.pdf,"According to the Nepalese law, when a person inherits immovable property, the debt of the deceased person is generally not transferred to the inheritor. However, there are some exceptions and nuances to consider.

In Nepal, the concept of ""succession"" is governed by the Inheritance Act, 2017 (Act 18 of 2017), which is based on the Indian Succession Act, 1925. According to Section 64 of the Act, the property of a deceased person is distributed among the heirs in the order of their relationship to the deceased, with the closest relatives receiving priority.

However, if the deceased","No, the creditor is not entitled to recover the debt from the heir. The heir is not liable to repay the debt, and the creditor can only recover the debt from the person who has the immovable property. [Source: Muluki-Ain-General-Code-en.pdf]",0.15503875968992248,0.30769230769230765,0.2541067475302853,0.5456352649193887,0.57065094,0.7353053,2.0,5.0
Can a person who is being held in detention or imprisonment serve as an attorney in another person's case?,"No, a person who is being held in detention or imprisonment in connection with any case shall not serve as attorney in another's case while in detention or imprisonment.",Muluki-Ain-General-Code-en.pdf,"In Nepal, the Constitution (2017) and the Code of Criminal Procedure (CCP) 2017 provide specific rules regarding the eligibility and conduct of attorneys, including those in detention or imprisonment.

According to Article 32 of the Constitution, every citizen has the right to a fair trial, which includes the right to be represented by an attorney of their choice (Constitution, 2017, Article 32(1)). However, the Constitution does not explicitly state that a person in detention or imprisonment can serve as an attorney in another person's case.

Section 37 of the Code of Criminal Procedure (CCP) 2017","No, a person who is being held in detention or imprisonment cannot serve as an attorney in another person's case, as per the passage. The passage states that a person who is being held in detention or imprisonment shall not be entitled to serve as an attorney in any case. [Source: Muluki-Ain-General-Code-en.pdf]",0.20472440944881892,0.5,0.26694656283115326,0.5197027337168667,0.45371124,0.9010378,1.0,2.0
"Based on the given passage, which one of the following statements is correct? A) C and D live on the same street. B) C’s house faces south. C) The houses of C and D are less than 30 m apart. D) None of the above",D) None of the above,psc_section_officer_p1.pdf,"I don't have any information about the passage you are referring to. Please provide the passage, and I'll be happy to help you determine which statement is correct.",The correct answer is A) C and D live on the same street. This can be inferred from the passage where it is mentioned that 'C and D live on the same street'. The other options are not supported by the passage. [Source: psc_section_officer_p1.pdf],0.05714285714285715,0.07547169811320754,0.08735733115713931,0.061505907076282174,0.17987944,0.22564083,4.0,4.0
इच्छापिको व्यहोराका टवरुद्ध उन ठाइएको दाबी के हो ?,इच्छापिको व्यहोराका टवरुद्ध उन ठाइएको दाबी 'Devisavit vel non' हो । यो एक कानूनी सूक्ति हो जो इच्छापिको व्यहोराका टवरुद्ध उन ठाइएको दाबीको संकेत गर्दछ ।,Legal-Maxims-कानूनी-सूक्तिहरू.pdf,"मेरी जानकारी के अनुसार, ""इच्छापिको व्यहोराका टवरुद्ध उन ठाइएको दाबी"" नामक एक विषय के बारे में मुझे कोई विशिष्ट जानकारी नहीं मिली।

हालाँचे, मैं आपको बता सकता हूँ कि नेपाल के संविधान और अन्य कानूनी दस्तावेजों में से कुछ प्रमुख विषय हैं जो आपके प्रश्न",इच्छापिको व्यहोराका टवरुद्ध उन ठाइएको दाबी हो जुन इच्छापिको व्यहोराको टवरुद्ध उन ठाइएको दाबी हो । [Source: Legal-Maxims-कानूनी-सूक्तिहरू.pdf],0.0,0.0,0.3782061627494328,0.7261977459372057,0.42528722,0.66373754,1.0,2.0
What was the estimated amount required in 2010 to attain the 2015 target for primary education in Nepal?,An estimated NRs. 344 billion was required to attain the 2015 target for primary education in Nepal.,Nepal-Millennium-Development-Goals-Progr-1684513954_63.pdf,I am unable to verify the estimated amount required in 2010 to attain the 2015 target for primary education in Nepal.,"The estimated amount required in 2010 to attain the 2015 target for primary education in Nepal was NPR 1, 500. [Source: Nepals-SDG-Status-and-Roadmap-2016-2030-1684515827_15.pdf]",0.6315789473684211,0.5,0.7105889347906982,0.4972469117129073,0.7304829,0.80069304,2.0,2.0
"What is the relationship between remittance inflow and imports in Nepal, and what contributes to the statistical insignificance of this relationship in basic regression?","The relationship between remittance inflow and imports in Nepal is generally agreed to be positive, with evidence suggesting that remittances stimulate an increase in demand for consumption, which is met by imports from India. However, the statistical insignificance of this relationship in basic regression is likely due to the fact that the relationship is not significant at the statistical level, meaning that the data does not strongly support the idea that there is a direct causal link between remittance inflow and imports.",THE-EFFECTS-OF-COVID-19-PANDEMIC-ON-FORE-1684556068_18.pdf,"A very specific question!

In Nepal, remittances and imports are two significant components of the country's economy. Remittances are a vital source of foreign exchange earnings for Nepal, while imports are a crucial component of the country's consumption and economic growth.

According to the Central Bank of Nepal (CBN), remittances have been a major driver of economic growth in Nepal. In the 2020-21 fiscal year, remittances accounted for approximately 14.4% of the country's GDP, making it the largest source of foreign exchange earnings (CBN, 2022).

Imports, on the other hand,","The relationship between remittance inflow and imports in Nepal is statistically insignificant, as indicated by the p-value of 0.9999, which is greater than the significance level of 0.01. This suggests that the coefficient estimate is not statistically significant, and the relationship between remittance inflow and imports is not significant. The contribution to this insignificance is the high correlation between remittance inflow and imports, which is 0.9999, indicating a very strong positive relationship between the two variables. This high correlation makes it difficult to determine the significance of the coefficient estimate, leading to the statistical insignificance of the relationship between",0.13559322033898305,0.3135135135135135,0.6465891342177561,0.6796089986644064,0.7682169,0.8842319,2.0,1.0
Why were more solar PV sites selected in Province 2 than in other provinces in Nepal?,The highest number and installed capacity of Solar PV sites in the country were selected in Province 2 due to the absence of any hydropower potential in the area and also because of the high population density in Province 2.,Universalizing-Clean-Energy-in-Nepal-1684516044_18.pdf,"I couldn't find any specific information on why more solar PV sites were selected in Province 2 compared to other provinces in Nepal. However, I can provide some general information on the solar power sector in Nepal.

Nepal has set ambitious targets to increase its renewable energy production, and solar power is one of the key sources of renewable energy. The government has been promoting the development of solar power through various initiatives, including the Nepal Electricity Authority (NEA) and the Ministry of Energy.

According to the Nepal Electricity Act, 2017, the government has designated certain areas for solar power development, and these areas are typically located in regions","More solar PV sites were selected in Province 2 because of its high solar irradiance, which is the highest in the country, making it an ideal location for solar power generation. [Source: Final-Report-on-Study-and-Analysis-of-Op-1684516133_32.pdf]",0.21333333333333335,0.3132530120481927,0.3002538545680988,0.6508609879797229,0.7466595,0.8453877,1.0,2.0
What is the purpose of the report presented in the passage?,"The report presents an in-depth review of the SDG 16 Plus agenda, focusing on the national progress review of the SDG 16 in line with various themes, and ultimately contributes to the Voluntary National Review (VNR) for the Government of Nepal.",A-SDG-16-Plus-Report-Peaceful-Just-and-I-1684557808_59.pdf,I don't have the specific passage to refer to. Could you please provide the passage you'd like me to analyze? I'll be happy to help you understand the purpose of the report.,"The purpose of the report is to provide a comprehensive analysis of the progress made by Nepal in achieving the Sustainable Development Goals (SDGs) and the 2030 Agenda for Sustainable Development, as well as to identify the remaining gaps and challenges in achieving these goals. [Source: Nepals-SDG-Status-and-Roadmap-2016-2030-1684515827_15.pdf]",0.12987012987012989,0.20408163265306123,0.4037626712844778,0.5368898279316224,0.4154438,0.69399333,1.0,4.0
"According to the passage, what are the conditions under which a medical practitioner or a Vaidhaya can perform an operation on a patient without their consent?","The operation can be performed without the patient's consent if they are a minor or unconscious, or if they have no guardian, in the best interest of the patient on behalf of the hospital.",Muluki-Ain-General-Code-en.pdf,"I couldn't find any information on the specific conditions under which a medical practitioner or a Vaidhaya (Ayurvedic practitioner) can perform an operation on a patient without their consent in the provided passage. 

However, I can provide general information on the subject. In Nepal, the Medical Council of Nepal (MCON) is the regulatory body for medical practitioners, and the Nepal Medical Council (NMC) is the regulatory body for Ayurvedic practitioners. 

According to the Medical Council of Nepal's rules and regulations, a medical practitioner can perform an emergency operation without the patient's consent in exceptional circumstances, such as when the patient","A medical practitioner or a Vaidhaya can perform an operation on a patient without their consent if the patient is unconscious, insane, or dead, or if the patient is unable to give consent due to a serious disease, or if the patient is a minor or a woman in childbearing age, or if the patient is a victim of a violent crime, or if the patient is in a state of extreme danger, or if the patient is unable to give consent due to a serious disease, or if the patient is a victim of a violent crime, or if the patient is in a state of extreme danger, or if the patient is",0.15942028985507245,0.24161073825503354,0.25196701052775294,0.29468973496490014,0.478378,0.79944897,2.0,4.0
"What is the social empowerment index of women in Nepal, as per the given report?","The social empowerment index of women in Nepal is 0.5, as shown by the social empowerment index of 2019, which is slightly higher than the target of 0.48.",A-SDG-16-Plus-Report-Peaceful-Just-and-I-1684557808_59.pdf,"I'm not aware of a specific report that provides the social empowerment index of women in Nepal. However, I can suggest some possible sources where you may be able to find the information:

1. The United Nations Development Programme (UNDP) publishes the Human Development Index (HDI) and the Gender Inequality Index (GII), which can provide insights into the social empowerment of women in Nepal.
2. The World Bank's World Development Indicators (WDI) database also provides data on various social indicators, including those related to gender equality and women's empowerment.
3. The Government of Nepal's National Planning Commission (NPC) and","The social empowerment index of women in Nepal is 0.555, as per the given report. [Source: Nepal-Millennium-Development-Goals-Progr-1684513954_63.pdf]",0.21052631578947364,0.4363636363636364,0.21250420874818013,0.56741516403271,0.7164178,0.86614704,2.0,2.0
